DEP,DEPNOMBRE,MUN,MUNNOMBRE,total_votos_v1,pct_gomez_v1,pct_fico_v1,pct_petro_v1,pct_ingrid_v1,pct_johnmilton_v1,pct_luisperez_v1,pct_rodolfo_v1,pct_fajardo_v1,ganador_v1,pct_petro_v2,pct_rodolfo_v2,gano_petro,margen_victoria,total_votos_v2,cod_mpio,nombre_mpio,cobertura_acueducto,cobertura_alcantarillado,pobreza_extrema,desempeno_fiscal,pct_rural,tasa_homicidios,nbi_rural,nbi_urbano,ipm,poblacion_total
7,BOYACA,262,SATIVASUR,605,,17.85,22.15,0.17,,,52.4,2.98,rodolfo,29.83,65.6,0,-35.77,657,7262,,,,,,,,,,,
7,BOYACA,265,SIACHOQUE,3921,0.36,5.59,20.68,,0.36,0.08,67.48,3.06,rodolfo,28.22,68.95,0,-40.73,4245,7265,,,,,,,,,,,
7,BOYACA,268,SOATA,4685,0.32,19.94,22.07,0.09,0.58,0.02,51.65,3.16,rodolfo,27.87,69.27,0,-41.4,4956,7268,,,,,,,,,,,
7,BOYACA,271,SOCOTA,3082,0.36,8.34,21.64,0.06,0.45,0.06,64.63,1.59,rodolfo,29.96,66.79,0,-36.83,3375,7271,,,,,,,,,,,
7,BOYACA,274,SOCHA,3349,0.39,8.42,29.47,0.09,0.39,0.03,53.0,4.21,rodolfo,40.25,54.48,0,-14.23,3739,7274,,,,,,,,,,,
7,BOYACA,277,SOGAMOSO,66422,0.21,10.92,40.68,0.05,1.08,0.04,39.62,4.86,petro,52.78,43.59,1,9.19,67675,7277,,,,,,,,,,,
7,BOYACA,280,SOMONDOCO,1533,0.26,10.96,20.94,,0.59,0.13,61.64,3.59,rodolfo,26.68,70.79,0,-44.11,1739,7280,,,,,,,,,,,
7,BOYACA,281,SORA,1823,0.22,4.5,31.27,0.05,0.05,,60.07,2.41,rodolfo,39.66,57.79,0,-18.13,1964,7281,,,,,,,,,,,
7,BOYACA,282,SORACA,3755,0.43,5.25,25.14,0.05,0.11,,65.06,2.18,rodolfo,33.69,63.55,0,-29.86,4132,7282,,,,,,,,,,,
7,BOYACA,283,SOTAQUIRA,4052,0.2,8.54,19.25,0.07,0.81,0.02,65.15,3.28,rodolfo,26.97,69.76,0,-42.79,4286,7283,,,,,,,,,,,
7,BOYACA,286,SUSACON,1492,0.2,17.83,14.01,,,,63.94,2.28,rodolfo,21.66,75.47,0,-53.81,1602,7286,,,,,,,,,,,
7,BOYACA,289,SUTAMARCHAN,3828,,8.93,24.06,,0.34,0.03,62.64,2.82,rodolfo,27.81,70.2,0,-42.39,4168,7289,,,,,,,,,,,
7,BOYACA,292,SUTATENZA,2241,0.27,14.41,21.06,,0.45,,58.77,2.45,rodolfo,27.17,69.44,0,-42.27,2451,7292,,,,,,,,,,,
7,BOYACA,298,TASCO,2640,0.19,7.46,30.83,0.08,0.53,,55.61,3.11,rodolfo,40.16,56.97,0,-16.81,2861,7298,,,,,,,,,,,
7,BOYACA,301,TENZA,2020,0.3,11.29,17.13,,0.45,,64.31,4.6,rodolfo,22.62,74.38,0,-51.76,2233,7301,,,,,,,,,,,
7,BOYACA,304,TIBANA,4066,0.32,5.76,23.32,0.05,0.57,0.07,64.51,2.83,rodolfo,31.09,66.22,0,-35.13,4500,7304,,,,,,,,,,,
7,BOYACA,307,TIBASOSA,6305,0.25,11.1,38.14,0.02,0.76,0.03,42.59,4.84,rodolfo,48.73,48.14,1,0.59,6620,7307,,,,,,,,,,,
7,BOYACA,310,TINJACA,2096,0.29,9.06,31.73,0.05,0.19,0.1,54.96,2.77,rodolfo,37.98,59.82,0,-21.84,2138,7310,,,,,,,,,,,
7,BOYACA,311,TIPACOQUE,1840,0.05,9.51,17.17,0.05,0.22,0.05,69.84,1.58,rodolfo,22.85,75.17,0,-52.32,2066,7311,,,,,,,,,,,
7,BOYACA,313,TOCA,4925,0.26,4.83,24.97,0.06,0.37,0.06,64.99,2.11,rodolfo,35.18,61.72,0,-26.54,5097,7313,,,,,,,,,,,
7,BOYACA,316,TOGUI,2255,0.13,13.88,14.19,0.04,1.24,0.09,65.81,2.13,rodolfo,18.93,78.52,0,-59.59,2467,7316,,,,,,,,,,,
7,BOYACA,319,TOPAGA,2279,0.53,14.3,22.16,0.09,0.66,0.04,56.34,2.54,rodolfo,31.33,65.1,0,-33.77,2378,7319,,,,,,,,,,,
7,BOYACA,322,TOTA,2059,0.73,5.29,16.27,0.15,0.78,,71.73,3.01,rodolfo,20.4,78.07,0,-57.67,2481,7322,,,,,,,,,,,
7,BOYACA,324,TUNUNGUA,931,0.11,9.99,23.63,,2.04,0.11,62.08,1.18,rodolfo,27.75,70.89,0,-43.14,955,7324,,,,,,,,,,,
7,BOYACA,325,TURMEQUE,3251,0.43,8.98,24.02,0.06,0.58,,58.17,4.95,rodolfo,31.11,65.09,0,-33.98,3626,7325,,,,,,,,,,,
7,BOYACA,328,TUTA,5345,0.26,6.57,29.73,0.07,0.64,,57.83,3.14,rodolfo,38.43,58.79,0,-20.36,5642,7328,,,,,,,,,,,
7,BOYACA,331,TUTAZA,1338,0.75,8.82,23.92,0.07,0.22,0.15,62.41,1.72,rodolfo,32.97,64.73,0,-31.76,1392,7331,,,,,,,,,,,
7,BOYACA,334,UMBITA,3607,0.28,8.59,18.13,,0.14,0.11,68.26,2.77,rodolfo,22.65,75.47,0,-52.82,3930,7334,,,,,,,,,,,
7,BOYACA,337,VENTAQUEMADA,6951,0.12,5.81,27.23,0.09,0.86,0.06,61.01,2.75,rodolfo,36.64,59.58,0,-22.94,7535,7337,,,,,,,,,,,
7,BOYACA,340,VIRACACHA,1472,0.54,9.44,14.67,0.07,0.48,0.07,69.16,3.33,rodolfo,18.2,79.52,0,-61.32,1758,7340,,,,,,,,,,,
7,BOYACA,346,ZETAQUIRA,2521,0.12,7.97,26.26,0.04,0.36,0.12,61.36,1.98,rodolfo,31.05,67.28,0,-36.23,2873,7346,,,,,,,,,,,
9,CALDAS,1,MANIZALES,219700,0.29,26.97,33.16,0.15,0.9,0.12,24.85,8.91,petro,45.87,47.81,0,-1.94,220920,9001,,,,,,,,,,,
9,CALDAS,4,AGUADAS,10940,0.36,41.41,11.12,0.15,0.86,0.05,37.37,4.54,fico,17.19,78.49,0,-61.3,11213,9004,,,,,,,,,,,
9,CALDAS,7,ANSERMA,15596,0.25,34.64,20.34,,0.51,,35.4,3.51,rodolfo,30.37,63.79,0,-33.42,16268,9007,,,,,,,,,,,
9,CALDAS,13,ARANZAZU,5953,0.39,42.05,11.86,0.12,0.45,,34.54,6.28,fico,20.34,75.24,0,-54.9,6058,9013,,,,,,,,,,,
9,CALDAS,22,BELALCAZAR,5046,0.28,32.94,22.29,0.14,0.69,,36.8,2.73,rodolfo,31.61,64.03,0,-32.42,5346,9022,,,,,,,,,,,
9,CALDAS,34,CHINCHINA,26281,0.19,25.6,29.72,0.11,1.19,0.05,33.12,4.85,rodolfo,41.61,52.37,0,-10.76,26693,9034,,,,,,,,,,,
9,CALDAS,37,FILADELFIA,4815,0.23,40.83,16.7,0.1,0.5,0.02,34.6,3.63,fico,23.08,73.05,0,-49.97,5095,9037,,,,,,,,,,,
9,CALDAS,49,LA DORADA,30572,0.2,24.04,23.81,0.06,1.53,0.02,43.56,2.36,rodolfo,32.36,62.67,0,-30.31,31179,9049,,,,,,,,,,,
9,CALDAS,52,LA MERCED,2746,0.36,32.08,18.1,0.07,0.69,0.11,40.6,3.31,rodolfo,25.97,69.31,0,-43.34,2861,9052,,,,,,,,,,,
