DEP,DEPNOMBRE,MUN,MUNNOMBRE,total_votos_v1,pct_gomez_v1,pct_fico_v1,pct_petro_v1,pct_ingrid_v1,pct_johnmilton_v1,pct_luisperez_v1,pct_rodolfo_v1,pct_fajardo_v1,ganador_v1,pct_petro_v2,pct_rodolfo_v2,gano_petro,margen_victoria,total_votos_v2,cod_mpio,nombre_mpio,cobertura_acueducto,cobertura_alcantarillado,pobreza_extrema,desempeno_fiscal,pct_rural,tasa_homicidios,nbi_rural,nbi_urbano,ipm,poblacion_total,cod_dep_dnp
23,NARIÑO,1,PASTO,198528,0.23,13.42,69.82,0.1,0.86,0.05,8.81,3.41,petro,80.92,16.0,1,64.92,219503,52001,Pasto,98.38,89.76,3.08,74.25,21.54,10.69,14.96,6.13,16.3,397480.0,52.0
23,NARIÑO,4,ALBAN (SAN JOSE),3975,0.33,22.84,39.32,,0.1,,32.28,1.94,petro,51.03,45.03,1,6.0,4466,,,,,,,,,,,,,
23,NARIÑO,7,ALDANA,3469,0.23,7.9,65.96,0.12,0.55,0.09,18.91,1.56,petro,77.19,19.37,1,57.82,4424,52022,Aldana,82.62,44.78,6.91,58.43,77.79,27.18,10.94,10.55,29.1,8250.0,52.0
23,NARIÑO,10,ANCUYA,3439,0.26,9.48,77.29,0.03,0.12,0.03,8.26,1.83,petro,86.3,11.31,1,74.99,4422,52036,Ancuyá,96.62,30.71,6.91,61.37,74.51,34.84,9.67,9.15,22.2,8208.0,52.0
23,NARIÑO,13,ARBOLEDA (BERRUECOS),2837,0.35,20.34,49.84,0.07,0.35,0.07,22.42,1.62,petro,65.07,30.64,1,34.43,3398,,,,,,,,,,,,,
23,NARIÑO,16,BARBACOAS,6821,0.79,14.26,67.25,0.23,0.59,0.09,7.8,2.9,petro,78.78,16.52,1,62.26,10058,52079,Barbacoas,9.7,9.97,6.91,67.94,76.83,40.65,67.48,81.09,76.1,70950.0,52.0
23,NARIÑO,17,BELEN,3138,0.19,10.8,66.92,,0.89,,13.93,1.94,petro,76.76,18.89,1,57.87,3494,15087,Belén,90.28,60.08,6.91,67.76,30.69,0.0,11.02,5.0,25.2,7318.0,15.0
23,NARIÑO,19,BUESACO,9377,0.57,24.38,46.53,0.07,0.14,0.07,21.26,2.41,petro,59.09,36.52,1,22.57,10868,52110,Buesaco,68.04,41.26,6.91,63.47,71.08,12.53,17.6,11.98,39.2,26535.0,52.0
23,NARIÑO,22,COLON (GENOVA),3566,0.31,10.18,70.81,0.08,0.17,0.06,11.22,1.63,petro,80.03,15.04,1,64.99,4302,,,,,,,,,,,,,
23,NARIÑO,25,CONSACA,5405,0.15,26.66,57.98,0.02,0.09,0.02,9.03,2.16,petro,71.7,24.06,1,47.64,6067,52207,Consacá,93.13,36.74,6.91,60.87,83.45,0.0,11.13,20.96,34.9,16498.0,52.0
23,NARIÑO,28,CONTADERO,3358,0.24,17.39,61.85,0.03,0.12,0.03,17.21,1.04,petro,73.22,24.12,1,49.1,3988,52210,Contadero,88.36,22.68,6.91,64.39,80.83,0.0,12.12,33.52,44.0,7418.0,52.0
23,NARIÑO,31,CORDOBA,5758,0.16,8.48,78.6,0.02,0.17,,8.68,1.35,petro,86.95,10.81,1,76.14,7343,13212,Córdoba,78.89,1.65,6.91,61.97,79.99,5.92,21.46,51.04,61.9,21721.0,13.0
23,NARIÑO,34,CUASPUD (CARLOSAMA),3927,0.46,8.76,67.23,0.03,0.28,,17.65,1.58,petro,80.15,16.1,1,64.05,5057,,,,,,,,,,,,,
23,NARIÑO,37,CUMBAL,14327,0.22,9.24,78.73,0.1,0.24,0.04,8.52,1.07,petro,86.76,11.14,1,75.62,17983,52227,Cumbal,85.1,39.48,6.91,65.61,80.65,24.28,17.44,6.18,28.6,49029.0,52.0
23,NARIÑO,38,CHACHAGUI,6619,0.24,13.05,70.13,0.05,0.2,0.05,11.51,1.9,petro,81.12,16.14,1,64.98,7615,52240,Chachagüí,90.09,45.39,6.91,74.98,69.69,13.06,20.47,12.37,32.2,16907.0,52.0
23,NARIÑO,39,CUMBITARA,3039,0.16,2.04,89.34,,0.03,0.03,4.61,0.53,petro,92.74,4.55,1,88.19,4682,52233,Cumbitara,83.8,51.34,6.91,60.31,70.32,51.97,21.41,15.07,39.4,5597.0,52.0
