MUNNOMBRE,DEPNOMBRE,cod_mpio,ipm,pct_rural,tasa_homicidios,cobertura_acueducto,cobertura_alcantarillado,nbi_urbano,nbi_rural,desempeno_fiscal,poblacion_total,pct_cepeda_v1,pct_oposicion_v1,pct_cepeda_v2_pred,pct_oposicion_v2_pred,gana_cepeda_pred,margen_pred,ganador_pred,zona_riesgo,quintil_ipm
SAN ZENON,MAGDALENA,47703.0,56.4,92.24,15.68,80.66,26.89,22.28,27.64,60.78,16847.0,50.08458292281105,49.91541707718895,55.645128176993694,44.354871823006306,1,11.29,Cepeda,Moderado (5-15%),Muy alto
SANTA ANA,MAGDALENA,47707.0,47.3,43.85,3.78,73.37,44.05,23.89,38.89,62.2,30939.0,44.14969216783739,55.85030783216261,50.05315500917308,49.94684499082692,0,0.11,Oposición,Reñido (<5%),Alto
SANTA BARBARA DE PINTO,MAGDALENA,47720.0,57.8,38.1,25.9,78.11,29.48,38.9,37.15,57.95,10083.0,44.71157430520405,55.28842569479595,50.711384262133265,49.288615737866735,0,1.42,Oposición,Reñido (<5%),Muy alto
SITIONUEVO,MAGDALENA,47745.0,70.7,48.85,60.19,47.99,1.16,46.66,49.63,71.59,28071.0,47.220227536923936,52.779772463076064,53.29858247811657,46.70141752188343,1,6.6,Cepeda,Moderado (5-15%),Muy alto
TENERIFE,MAGDALENA,47798.0,56.3,52.0,7.22,62.93,35.99,32.04,46.09,64.6,14742.0,45.96626219362789,54.03373780637211,51.69848060656071,48.30151939343929,1,3.4,Cepeda,Reñido (<5%),Muy alto
ZAPAYAN,MAGDALENA,47960.0,70.4,62.41,9.19,75.76,1.06,55.14,44.99,53.9,12531.0,48.5715019524162,51.4284980475838,54.51101047043199,45.48898952956801,0,9.02,Oposición,Moderado (5-15%),Muy alto
PASTO,NARIÑO,52001.0,16.3,21.54,10.69,98.38,89.76,6.13,14.96,74.25,397480.0,38.48077954353338,61.51922045646662,45.589613272254724,54.410386727745276,0,-8.82,Oposición,Moderado (5-15%),Muy bajo
ALDANA,NARIÑO,52022.0,29.1,77.79,27.18,82.62,44.78,10.55,10.94,58.43,8250.0,45.622770717091846,54.377229282908154,51.642077978069665,48.357922021930335,0,3.28,Oposición,Reñido (<5%),Bajo
ANCUYA,NARIÑO,52036.0,22.2,74.51,34.84,96.62,30.71,9.15,9.67,61.37,8208.0,44.53305093729055,55.46694906270945,51.4097279196367,48.5902720803633,0,2.82,Oposición,Reñido (<5%),Muy bajo
BARBACOAS,NARIÑO,52079.0,76.1,76.83,40.65,9.7,9.97,81.09,67.48,67.94,70950.0,50.6670134842141,49.3329865157859,56.040292964921946,43.959707035078054,1,12.08,Cepeda,Moderado (5-15%),Muy alto
