MUNNOMBRE,DEPNOMBRE,cod_mpio,ipm,pct_rural,tasa_homicidios,cobertura_acueducto,cobertura_alcantarillado,nbi_urbano,nbi_rural,desempeno_fiscal,poblacion_total,pct_cepeda_v1,pct_oposicion_v1,pct_cepeda_v2_pred,pct_oposicion_v2_pred,gana_cepeda_pred,margen_pred,ganador_pred,zona_riesgo,quintil_ipm
EL ZULIA,NORTE DE SAN,54261.0,41.9,43.3,43.4,84.61,68.11,16.67,31.79,75.24,34642.0,43.50274290524662,56.49725709475338,49.90694144875088,50.09305855124912,1,-0.19,Cepeda,Reñido (<5%),Medio
GRAMALOTE,NORTE DE SAN,54313.0,42.3,64.75,12.82,56.08,43.13,2.41,18.81,58.36,9668.0,45.735952330093994,54.264047669906006,50.70022198981558,49.29977801018442,1,1.4,Cepeda,Reñido (<5%),Medio
HACARI,NORTE DE SAN,54344.0,73.4,83.89,27.91,24.78,14.37,16.53,45.93,61.66,9791.0,51.092237434117045,48.907762565882955,55.073921747417366,44.926078252582634,1,10.15,Cepeda,Moderado (5-15%),Muy alto
HERRAN,NORTE DE SAN,54347.0,52.4,80.13,13.47,29.62,28.38,9.32,33.06,57.04,10422.0,48.41085347989,51.58914652011,52.68173921063699,47.31826078936301,1,5.36,Cepeda,Moderado (5-15%),Alto
LABATECA,NORTE DE SAN,54377.0,41.3,72.24,29.86,73.52,31.45,9.48,18.78,77.13,7200.0,46.39106289066617,53.60893710933383,52.906134060926206,47.093865939073794,1,5.81,Cepeda,Moderado (5-15%),Medio
LA ESPERANZA,NORTE DE SAN,54385.0,57.1,82.99,15.86,52.63,44.35,14.53,33.2,68.58,12165.0,49.21700277446484,50.78299722553516,54.195036385962034,45.804963614037966,1,8.39,Cepeda,Moderado (5-15%),Muy alto
LA PLAYA,NORTE DE SAN,54398.0,67.9,86.66,24.52,29.78,23.28,6.76,26.17,64.5,9159.0,50.773226501238696,49.226773498761304,54.841194101566586,45.158805898433414,1,9.68,Cepeda,Moderado (5-15%),Muy alto
LOS PATIOS,NORTE DE SAN,54405.0,21.4,2.64,7.06,95.79,93.68,9.6,15.03,78.02,111569.0,37.10960442606675,62.89039557393325,44.36152229185246,55.63847770814754,0,-11.28,Oposición,Moderado (5-15%),Muy bajo
LOURDES,NORTE DE SAN,54418.0,45.3,50.92,23.42,69.93,56.09,15.33,26.72,61.76,5104.0,44.65252327162949,55.34747672837051,50.120667494829675,49.879332505170325,0,0.24,Oposición,Reñido (<5%),Alto
MUTISCUA,NORTE DE SAN,54480.0,42.2,79.55,43.54,46.96,28.39,6.97,15.8,56.99,4699.0,47.23567794162738,52.76432205837262,52.15158326947372,47.84841673052628,1,4.3,Cepeda,Reñido (<5%),Medio
OCAÑA,NORTE DE SAN,54498.0,31.4,9.85,33.39,92.33,87.34,11.22,23.49,69.02,158872.0,38.93963590312544,61.06036409687456,45.384434954955616,54.615565045044384,0,-9.23,Oposición,Moderado (5-15%),Bajo
PAMPLONA,NORTE DE SAN,54518.0,20.5,6.74,1.82,91.97,91.82,6.52,30.4,72.12,48148.0,37.429631612525164,62.570368387474836,44.28236474650988,55.71763525349012,0,-11.44,Oposición,Moderado (5-15%),Muy bajo
PAMPLONITA,NORTE DE SAN,54520.0,41.7,77.13,0.0,48.46,32.52,8.75,17.66,63.76,6782.0,46.93395895428052,53.06604104571948,52.25170610356126,47.74829389643874,1,4.5,Cepeda,Reñido (<5%),Medio
PUERTO SANTANDER,NORTE DE SAN,54553.0,42.9,7.49,63.57,90.07,89.09,17.81,15.23,64.32,9489.0,39.95695152401506,60.04304847598494,45.87001311862104,54.12998688137896,0,-8.26,Oposición,Moderado (5-15%),Medio
RAGONVALIA,NORTE DE SAN,54599.0,41.4,50.27,77.41,55.09,50.36,15.33,23.14,60.75,7384.0,44.159480588309066,55.840519411690934,49.46466107004649,50.53533892995351,1,-1.07,Cepeda,Reñido (<5%),Medio
SALAZAR,NORTE DE SAN,54660.0,48.8,60.1,9.2,76.14,49.48,13.24,23.07,58.02,12031.0,45.97247697513672,54.02752302486328,51.26865163800943,48.73134836199057,0,2.54,Oposición,Reñido (<5%),Alto
SAN CALIXTO,NORTE DE SAN,54670.0,73.5,79.33,16.12,45.32,22.74,17.8,42.51,67.23,14617.0,50.6377297464379,49.3622702535621,55.242267806734006,44.757732193265994,1,10.48,Cepeda,Moderado (5-15%),Muy alto
SAN CAYETANO,NORTE DE SAN,25653.0,36.9,70.16,0.0,21.18,19.53,0.57,9.18,62.18,3954.0,45.69735256224652,54.30264743775348,50.63053948110226,49.36946051889774,1,1.26,Cepeda,Reñido (<5%),Medio
SANTIAGO,NORTE DE SAN,54680.0,48.1,46.26,0.0,68.81,57.28,14.22,26.17,63.46,5300.0,44.48321319166708,55.51678680833292,49.923491126953394,50.076508873046606,0,-0.15,Oposición,Reñido (<5%),Alto
SARDINATA,NORTE DE SAN,54720.0,53.8,59.85,32.95,58.79,55.36,15.9,52.99,70.66,31006.0,46.49400491127758,53.50599508872242,51.79501140261354,48.20498859738646,1,3.59,Cepeda,Reñido (<5%),Alto
SILOS,NORTE DE SAN,54743.0,46.6,83.59,30.55,47.72,42.87,5.83,16.31,66.26,8186.0,48.12944951328476,51.87055048671524,53.09574575050081,46.90425424949919,1,6.19,Cepeda,Moderado (5-15%),Alto
TEORAMA,NORTE DE SAN,54800.0,67.1,82.01,61.08,40.98,35.63,19.84,42.3,68.92,19668.0,50.21106405656588,49.78893594343412,54.82828530913025,45.17171469086975,1,9.66,Cepeda,Moderado (5-15%),Muy alto
TIBU,NORTE DE SAN,54810.0,57.6,61.93,71.85,51.38,45.97,27.36,56.85,75.87,85958.0,47.12206972547404,52.87793027452596,52.7248293624488,47.2751706375512,1,5.45,Cepeda,Moderado (5-15%),Muy alto
TOLEDO,NORTE DE SAN,54820.0,50.1,63.57,36.07,55.66,42.24,10.24,44.06,79.42,19087.0,46.468898980801384,53.531101019198616,52.31186827442314,47.68813172557686,1,4.62,Cepeda,Reñido (<5%),Alto
VILLA CARO,NORTE DE SAN,54871.0,64.8,53.6,0.0,54.82,46.57,22.58,37.48,61.83,5069.0,47.059555612392046,52.940444387607954,51.841830154297625,48.158169845702375,1,3.68,Cepeda,Reñido (<5%),Muy alto
VILLA DEL ROSARIO,NORTE DE SAN,54874.0,24.6,3.41,32.63,84.88,93.43,13.98,14.93,74.88,151949.0,37.538309323671946,62.461690676328054,44.376415167849494,55.623584832150506,0,-11.25,Oposición,Moderado (5-15%),Muy bajo
ARMENIA,QUINDIO,63001.0,14.4,2.69,25.6,98.88,96.17,5.36,5.27,75.17,297298.0,36.348843696606636,63.651156303393364,43.60581748509619,56.39418251490381,0,-12.79,Oposición,Moderado (5-15%),Muy bajo
BUENAVISTA,QUINDIO,15109.0,44.9,73.82,0.0,50.8,17.42,5.69,16.37,61.21,4026.0,46.94620983535004,53.05379016464996,52.25887372601887,47.74112627398113,1,4.52,Cepeda,Reñido (<5%),Alto
CALARCA,QUINDIO,63130.0,19.9,23.16,29.95,96.3,91.07,6.05,11.18,73.43,67645.0,39.04000937073231,60.95999062926769,45.94630735551988,54.05369264448012,0,-8.11,Oposición,Moderado (5-15%),Muy bajo
CIRCASIA,QUINDIO,63190.0,17.3,25.77,33.55,98.48,78.91,6.26,7.11,74.37,26329.0,39.02195355987251,60.97804644012749,46.282661832834435,53.717338167165565,0,-7.43,Oposición,Moderado (5-15%),Muy bajo
CORDOBA,QUINDIO,13212.0,61.9,79.99,5.92,78.89,1.65,51.04,21.46,61.97,21721.0,49.43595069962122,50.56404930037878,55.930208558387264,44.069791441612736,1,11.86,Cepeda,Moderado (5-15%),Muy alto
FILANDIA,QUINDIO,63272.0,18.1,44.98,8.16,96.43,62.01,5.12,7.55,69.84,10888.0,41.07028524002556,58.92971475997444,48.16385353448817,51.83614646551183,0,-3.67,Oposición,Reñido (<5%),Muy bajo
GENOVA,QUINDIO,63302.0,33.1,43.99,39.29,66.16,63.17,8.1,15.87,67.29,6801.0,42.6103717533578,57.3896282466422,48.47400998832384,51.52599001167616,0,-3.05,Oposición,Reñido (<5%),Bajo
LA TEBAIDA,QUINDIO,63401.0,27.4,9.58,33.62,97.07,92.54,9.98,11.67,74.06,30372.0,38.47443968466085,61.52556031533915,45.324008071059325,54.675991928940675,0,-9.35,Oposición,Moderado (5-15%),Bajo
MONTENEGRO,QUINDIO,63470.0,25.8,18.18,38.99,98.24,91.5,10.83,12.27,74.69,34373.0,39.17720472080263,60.82279527919737,46.10607178813488,53.89392821186512,0,-7.79,Oposición,Moderado (5-15%),Muy bajo
PIJAO,QUINDIO,63548.0,28.8,43.81,96.49,72.2,66.43,4.6,14.31,69.32,4720.0,42.121539263440496,57.878460736559504,48.1824955065675,51.8175044934325,1,-3.64,Cepeda,Reñido (<5%),Bajo
QUIMBAYA,QUINDIO,63594.0,22.0,19.1,53.24,99.22,89.0,7.11,9.83,74.69,28714.0,38.85535609523534,61.14464390476466,45.87665170481039,54.12334829518961,0,-8.25,Oposición,Moderado (5-15%),Muy bajo
SALENTO,QUINDIO,63690.0,19.7,59.15,10.37,83.0,61.95,5.95,5.9,73.56,9784.0,42.6917010755792,57.3082989244208,49.562726440682155,50.437273559317845,0,-0.87,Oposición,Reñido (<5%),Muy bajo
BUCARAMANGA,SANTANDER,68001.0,14.2,1.61,18.58,94.32,94.62,5.27,11.6,80.01,610880.0,36.216724030625734,63.783275969374266,43.60400478578836,56.39599521421164,0,-12.79,Oposición,Moderado (5-15%),Muy bajo
AGUADA,SANTANDER,68013.0,41.8,73.08,52.58,94.9,19.16,11.34,17.08,63.16,1694.0,46.53150801866833,53.46849198133167,52.98638772815859,47.01361227184141,1,5.97,Cepeda,Moderado (5-15%),Medio
ALBANIA,SANTANDER,18029.0,38.8,55.53,89.11,57.35,49.89,11.88,26.37,59.93,4835.0,44.411915744071706,55.588084255928294,49.6959685082578,50.3040314917422,1,-0.61,Cepeda,Reñido (<5%),Medio
ARATOCA,SANTANDER,68051.0,40.6,61.6,11.57,49.78,35.36,13.94,22.39,65.82,8104.0,45.22842970840098,54.77157029159902,50.871695886340014,49.128304113659986,1,1.74,Cepeda,Reñido (<5%),Medio
BARBOSA,SANTANDER,68077.0,21.6,17.81,6.01,94.18,83.81,7.31,10.42,67.94,36427.0,38.679919457976,61.320080542024,45.41827943399803,54.58172056600197,0,-9.16,Oposición,Moderado (5-15%),Muy bajo
BARICHARA,SANTANDER,68079.0,28.5,61.53,0.0,82.09,45.49,5.01,14.49,76.49,15314.0,43.89743346049854,56.10256653950146,50.79260319590691,49.20739680409309,1,1.59,Cepeda,Reñido (<5%),Bajo
BARRANCABERMEJA,SANTANDER,68081.0,26.4,9.46,41.92,93.02,79.58,10.88,16.86,79.68,248468.0,38.352781846743696,61.647218153256304,45.59536291518339,54.40463708481661,0,-8.81,Oposición,Moderado (5-15%),Muy bajo
BETULIA,SANTANDER,68092.0,43.9,69.43,16.32,63.9,56.31,7.76,25.73,72.63,7310.0,46.38870428895069,53.61129571104931,52.01980951914139,47.98019048085861,1,4.04,Cepeda,Reñido (<5%),Medio
BOLIVAR,SANTANDER,13000.0,38.04,27.2,20.11,78.7,50.92,21.69,41.4,73.75,2299543.0,41.437063218100846,58.562936781899154,47.938497343477664,52.061502656522336,0,-4.12,Oposición,Reñido (<5%),Medio
CABRERA,SANTANDER,25120.0,39.5,64.76,19.76,36.78,27.68,7.87,10.9,65.97,4685.0,45.430627317681186,54.569372682318814,50.824644967703634,49.175355032296366,1,1.65,Cepeda,Reñido (<5%),Medio
CALIFORNIA,SANTANDER,68132.0,21.2,46.45,43.98,56.8,49.72,5.1,8.13,58.06,2831.0,41.55949966260703,58.44050033739297,47.32776774076932,52.67223225923068,0,-5.34,Oposición,Moderado (5-15%),Muy bajo
CAPITANEJO,SANTANDER,68147.0,35.7,28.46,0.0,76.35,59.47,8.22,29.62,58.6,7059.0,41.309656511854634,58.690343488145366,47.050789135298515,52.949210864701485,0,-5.9,Oposición,Moderado (5-15%),Bajo
CARCASI,SANTANDER,68152.0,60.8,78.47,0.0,45.13,20.61,17.74,28.92,59.96,5220.0,49.16045105463992,50.83954894536008,53.918434955691886,46.081565044308114,1,7.84,Cepeda,Moderado (5-15%),Muy alto
CEPITA,SANTANDER,68160.0,32.0,64.33,0.0,81.72,27.42,3.76,15.45,54.9,2038.0,44.566167402854404,55.433832597145596,50.51708860599427,49.48291139400573,0,1.03,Oposición,Reñido (<5%),Bajo
CERRITO,SANTANDER,68162.0,41.9,40.76,14.16,56.91,49.06,12.96,18.24,61.85,7885.0,43.243479865540586,56.756520134459414,48.711530314823065,51.288469685176935,0,-2.58,Oposición,Reñido (<5%),Medio
CIMITARRA,SANTANDER,68190.0,36.0,43.3,28.53,75.23,71.3,9.17,25.54,81.35,31663.0,42.85722868205187,57.14277131794813,49.380528175785734,50.619471824214266,1,-1.24,Cepeda,Reñido (<5%),Bajo
CONCEPCION,SANTANDER,68207.0,36.2,41.85,0.0,69.67,49.62,9.41,20.53,60.49,5680.0,42.7311060289555,57.2688939710445,48.503713538446284,51.496286461553716,0,-2.99,Oposición,Reñido (<5%),Bajo
CONFINES,SANTANDER,68209.0,32.6,68.99,0.0,62.74,23.47,11.66,10.09,65.27,4012.0,45.10746873008158,54.89253126991842,51.362097576534445,48.637902423465555,1,2.72,Cepeda,Reñido (<5%),Bajo
CONTRATACION,SANTANDER,68211.0,29.2,17.87,0.0,83.45,76.27,4.71,20.51,63.23,4761.0,39.51755362857571,60.48244637142429,45.604324201207284,54.395675798792716,0,-8.79,Oposición,Moderado (5-15%),Bajo
COROMORO,SANTANDER,68217.0,53.6,77.19,39.08,64.11,22.31,3.87,24.45,62.86,6111.0,48.2420526434798,51.7579473565202,53.42061791850517,46.57938208149483,1,6.84,Cepeda,Moderado (5-15%),Alto
CURITI,SANTANDER,68229.0,35.7,54.66,7.44,86.71,43.75,7.56,18.16,70.91,15842.0,43.98394455921607,56.01605544078393,50.571030886982264,49.428969113017736,1,1.14,Cepeda,Reñido (<5%),Bajo
CHARALA,SANTANDER,68167.0,26.9,31.87,8.0,91.86,61.62,5.13,13.89,66.34,14744.0,40.694921370989604,59.305078629010396,47.310637726598756,52.689362273401244,0,-5.38,Oposición,Moderado (5-15%),Muy bajo
CHARTA,SANTANDER,68169.0,35.1,65.35,0.0,39.65,26.76,2.93,11.87,73.21,3573.0,45.009449397141495,54.990550602858505,50.87957635829737,49.12042364170263,1,1.76,Cepeda,Reñido (<5%),Bajo
CHIMA,SANTANDER,23168.0,57.8,80.91,49.52,31.13,20.4,45.31,34.95,64.34,21382.0,49.081279316942336,50.918720683057664,54.41364620477732,45.58635379522268,1,8.83,Cepeda,Moderado (5-15%),Muy alto
CHIPATA,SANTANDER,68179.0,42.8,78.46,0.0,71.79,13.88,7.21,16.3,66.83,4642.0,47.19006490731531,52.80993509268469,53.32082922906415,46.67917077093585,1,6.64,Cepeda,Moderado (5-15%),Medio
EL CARMEN,SANTANDER,54245.0,68.9,81.86,41.93,42.61,38.62,15.76,55.68,63.74,15961.0,50.39268978980401,49.60731021019599,54.60058645391054,45.39941354608946,1,9.2,Cepeda,Moderado (5-15%),Muy alto
EL GUACAMAYO,SANTANDER,68245.0,33.0,55.2,47.08,58.39,43.96,4.32,11.98,60.94,2029.0,43.74365865916495,56.25634134083505,49.274958465939726,50.725041534060274,1,-1.45,Cepeda,Reñido (<5%),Bajo
EL PLAYON,SANTANDER,68255.0,45.7,38.84,6.99,55.58,54.73,21.65,33.42,68.65,15487.0,43.46325642823148,56.53674357176852,49.20772979683521,50.79227020316479,1,-1.58,Cepeda,Reñido (<5%),Alto
EL PEÑON,SANTANDER,13268.0,67.7,66.49,0.0,54.73,2.8,27.19,58.65,47.96,6529.0,48.692551154947495,51.307448845052505,53.347397878802376,46.652602121197624,1,6.69,Cepeda,Moderado (5-15%),Muy alto
ENCINO,SANTANDER,68264.0,32.0,69.79,0.0,82.03,22.5,5.84,11.03,58.47,3135.0,45.1234808661595,54.8765191338405,51.33864189972695,48.66135810027305,0,2.68,Oposición,Reñido (<5%),Bajo
ENCISO,SANTANDER,68266.0,35.3,65.45,0.0,80.39,28.24,6.49,24.35,61.62,4287.0,45.04153844150353,54.95846155849647,51.20472914128689,48.79527085871311,0,2.41,Oposición,Reñido (<5%),Bajo
FLORIAN,SANTANDER,68271.0,56.0,66.65,17.56,63.11,29.01,8.64,38.71,81.13,5121.0,47.42879515765542,52.57120484234458,53.46260082695756,46.53739917304244,1,6.93,Cepeda,Moderado (5-15%),Muy alto
FLORIDABLANCA,SANTANDER,68276.0,11.0,3.79,11.47,96.16,94.9,3.72,8.45,81.15,320381.0,36.0891317185059,63.9108682814941,43.67830168857865,56.32169831142135,0,-12.64,Oposición,Moderado (5-15%),Muy bajo
GALAN,SANTANDER,68296.0,41.9,61.92,34.21,75.46,31.77,10.07,21.09,65.91,2757.0,45.40332471600502,54.59667528399498,51.469257631901236,48.530742368098764,1,2.94,Cepeda,Reñido (<5%),Medio
GAMBITA,SANTANDER,68298.0,51.1,73.56,24.65,38.51,21.91,4.85,27.08,60.97,3646.0,47.59800807930852,52.40199192069148,52.32189375975713,47.67810624024287,1,4.64,Cepeda,Reñido (<5%),Alto
GIRON,SANTANDER,68307.0,16.5,10.72,16.56,86.09,85.64,5.74,13.02,71.37,188717.0,37.39824166128523,62.60175833871477,44.26932580596839,55.73067419403161,0,-11.46,Oposición,Moderado (5-15%),Muy bajo
GUACA,SANTANDER,68318.0,60.3,64.33,33.22,64.81,41.19,5.72,22.53,59.79,7303.0,47.66244749038175,52.33755250961825,52.32808754890745,47.67191245109255,1,4.66,Cepeda,Reñido (<5%),Muy alto
GUADALUPE,SANTANDER,41319.0,43.2,70.35,16.13,71.64,40.67,15.26,19.63,65.86,18284.0,46.40602415353658,53.59397584646342,52.28657981754151,47.71342018245849,1,4.57,Cepeda,Reñido (<5%),Medio
GUAPOTA,SANTANDER,68322.0,31.4,62.37,41.44,85.14,28.57,8.78,14.06,67.22,2636.0,44.300460645393485,55.699539354606515,51.00572132441581,48.99427867558419,1,2.01,Cepeda,Reñido (<5%),Bajo
GUAVATA,SANTANDER,68324.0,40.4,64.39,0.0,45.12,25.53,13.3,13.39,63.63,3794.0,45.491328925751716,54.508671074248284,51.07624978649909,48.92375021350091,1,2.15,Cepeda,Reñido (<5%),Medio
GUEPSA,SANTANDER,68327.0,29.6,29.65,18.49,82.2,61.72,6.59,17.22,63.5,5869.0,40.763726205408396,59.236273794591604,46.98998706291754,53.01001293708246,0,-6.02,Oposición,Moderado (5-15%),Bajo
HATO,SANTANDER,68344.0,46.9,61.86,0.0,74.7,28.89,18.36,18.28,62.21,2889.0,45.944246344092385,54.055753655907615,51.90015549959797,48.09984450040203,1,3.8,Cepeda,Reñido (<5%),Alto
JESUS MARIA,SANTANDER,68368.0,40.8,68.16,0.0,84.79,22.07,3.86,14.96,77.18,3087.0,45.9199042789445,54.0800957210555,52.75462622983903,47.24537377016097,1,5.51,Cepeda,Moderado (5-15%),Medio
JORDAN,SANTANDER,68370.0,53.7,85.57,0.0,46.58,9.32,16.67,25.4,57.18,1642.0,49.10835744942115,50.89164255057885,54.109036226798914,45.890963773201086,1,8.22,Cepeda,Moderado (5-15%),Alto
LA PAZ,SANTANDER,20621.0,41.7,29.89,26.1,70.61,67.44,24.71,37.73,68.25,39122.0,42.112074703999824,57.887925296000176,48.19150943004208,51.80849056995792,0,-3.62,Oposición,Reñido (<5%),Medio
LA BELLEZA,SANTANDER,68377.0,36.1,60.3,16.01,65.77,27.35,7.49,12.67,75.75,5778.0,44.603394669987715,55.396605330012285,51.19451116026701,48.80548883973299,1,2.39,Cepeda,Reñido (<5%),Bajo
LANDAZURI,SANTANDER,68385.0,49.1,57.1,92.7,47.74,43.22,10.28,20.91,65.24,9716.0,45.699083543619146,54.300916456380854,50.743865650956685,49.256134349043315,1,1.49,Cepeda,Reñido (<5%),Alto
LEBRIJA,SANTANDER,68406.0,27.0,35.59,8.89,60.57,47.35,6.61,13.35,80.46,61948.0,41.085570363926976,58.914429636073024,47.963197526367814,52.036802473632186,1,-4.07,Cepeda,Reñido (<5%),Muy bajo
LOS SANTOS,SANTANDER,68418.0,44.6,80.75,6.64,24.19,14.07,18.6,21.35,76.97,19247.0,47.62074647397183,52.37925352602817,53.441857563929716,46.558142436070284,1,6.88,Cepeda,Moderado (5-15%),Alto
MACARAVITA,SANTANDER,68425.0,50.3,78.36,0.0,38.24,17.41,10.07,25.89,57.25,2648.0,48.00042662881761,51.99957337118239,52.73888794336049,47.26111205663951,1,5.48,Cepeda,Moderado (5-15%),Alto
MALAGA,SANTANDER,68432.0,19.3,9.91,9.06,88.31,86.72,5.5,19.33,71.06,27779.0,37.62190902339693,62.37809097660307,44.43265862656279,55.56734137343721,0,-11.13,Oposición,Moderado (5-15%),Muy bajo
MATANZA,SANTANDER,68444.0,38.2,62.35,19.49,58.44,35.46,6.8,16.43,68.33,6148.0,45.04240169866549,54.95759830133451,50.90006081097644,49.09993918902356,1,1.8,Cepeda,Reñido (<5%),Medio
MOGOTES,SANTANDER,68464.0,49.4,51.11,36.88,65.18,41.35,8.77,28.49,67.22,10097.0,45.120494644101164,54.879505355898836,50.6740998766318,49.3259001233682,1,1.35,Cepeda,Reñido (<5%),Alto
MOLAGAVITA,SANTANDER,68468.0,51.9,76.93,23.91,21.39,17.74,9.35,29.77,62.31,5033.0,48.029518283499556,51.970481716500444,52.5826902365699,47.4173097634301,1,5.17,Cepeda,Moderado (5-15%),Alto
OCAMONTE,SANTANDER,68498.0,38.6,77.77,17.02,74.07,18.48,7.52,12.93,67.04,7061.0,46.66011658436824,53.33988341563176,52.924311809098434,47.075688190901566,1,5.85,Cepeda,Moderado (5-15%),Medio
OIBA,SANTANDER,68500.0,31.8,45.91,8.78,74.44,45.84,5.44,17.92,67.23,10857.0,42.664118166596886,57.335881833403114,48.94567789816729,51.05432210183271,0,-2.11,Oposición,Reñido (<5%),Bajo
ONZAGA,SANTANDER,68502.0,55.1,60.32,24.04,32.23,30.98,6.96,33.29,59.92,5191.0,46.684210728313076,53.315789271686924,51.08761815829909,48.91238184170091,1,2.18,Cepeda,Reñido (<5%),Alto
PALMAR,SANTANDER,68522.0,32.5,55.95,0.0,100.0,44.17,6.16,18.37,62.9,1698.0,43.76550811113624,56.23449188886376,50.30700125078677,49.69299874921323,0,0.61,Oposición,Reñido (<5%),Bajo
PALMAS DEL SOCORRO,SANTANDER,68524.0,27.3,59.63,0.0,78.78,31.64,9.66,13.06,59.93,2784.0,43.572205512587004,56.427794487412996,49.970344656327704,50.029655343672296,0,-0.06,Oposición,Reñido (<5%),Muy bajo
PARAMO,SANTANDER,68533.0,31.5,62.88,0.0,75.66,29.61,6.12,11.79,65.05,6388.0,44.36345831649764,55.63654168350236,50.73094098538169,49.26905901461831,1,1.46,Cepeda,Reñido (<5%),Bajo
PIEDECUESTA,SANTANDER,68547.0,16.2,17.29,12.34,88.49,81.02,3.97,11.8,75.88,205590.0,38.03603235727152,61.96396764272848,45.17040381083478,54.82959618916522,0,-9.66,Oposición,Moderado (5-15%),Muy bajo
PINCHOTE,SANTANDER,68549.0,23.8,69.63,72.91,86.73,34.27,5.82,7.0,75.26,6975.0,44.209993975048945,55.790006024951055,51.379112130890675,48.620887869109325,1,2.76,Cepeda,Reñido (<5%),Muy bajo
PUENTE NACIONAL,SANTANDER,68572.0,26.4,51.09,13.22,76.08,39.63,3.03,9.73,81.91,14638.0,42.60204182428784,57.39795817571216,49.81919601880573,50.18080398119427,1,-0.36,Cepeda,Reñido (<5%),Muy bajo
PUERTO PARRA,SANTANDER,68573.0,36.1,55.94,12.24,72.96,65.13,13.2,20.66,75.69,10541.0,44.15836047584665,55.84163952415335,50.476911592499796,49.523088407500204,1,0.95,Cepeda,Reñido (<5%),Bajo
PUERTO WILCHES,SANTANDER,68575.0,40.3,41.65,83.22,67.64,62.85,26.9,37.39,73.1,36806.0,43.15926929690539,56.84073070309461,49.44984088657034,50.55015911342966,1,-1.1,Cepeda,Reñido (<5%),Medio
RIONEGRO,SANTANDER,68615.0,37.8,67.07,7.25,56.75,39.54,5.08,19.82,71.62,22061.0,45.48041815929326,54.51958184070674,51.35049207923168,48.64950792076832,1,2.7,Cepeda,Reñido (<5%),Medio
SABANA DE TORRES,SANTANDER,68655.0,36.6,24.55,25.56,73.12,65.25,18.88,25.07,69.51,42890.0,41.00902301734274,58.99097698265726,47.33096221256252,52.66903778743748,0,-5.34,Oposición,Moderado (5-15%),Medio
SAN ANDRES,SANTANDER,68669.0,42.4,54.31,11.42,66.47,40.37,6.72,17.01,63.81,7163.0,44.681260912701674,55.318739087298326,50.32208583739076,49.67791416260924,1,0.64,Cepeda,Reñido (<5%),Medio
SAN BENITO,SANTANDER,68673.0,49.8,81.68,0.0,36.38,12.68,6.2,12.46,58.56,2647.0,48.284601282381225,51.715398717618775,53.04352802038122,46.95647197961878,1,6.09,Cepeda,Moderado (5-15%),Alto
SAN GIL,SANTANDER,68679.0,13.7,9.77,6.58,95.18,88.58,3.84,11.71,77.13,95906.0,36.99492746851109,63.00507253148891,44.36695303161205,55.63304696838795,0,-11.27,Oposición,Moderado (5-15%),Muy bajo
SAN JOAQUIN,SANTANDER,68682.0,41.4,53.59,0.0,52.09,36.35,4.21,17.98,57.04,2803.0,44.498359837058686,55.501640162941314,49.5793812972305,50.4206187027695,1,-0.84,Cepeda,Reñido (<5%),Medio
SAN JOSE DE MIRANDA,SANTANDER,68684.0,47.6,70.76,0.0,48.3,28.85,10.93,30.11,61.11,3635.0,46.929274136952664,53.070725863047336,52.044194187334924,47.955805812665076,1,4.09,Cepeda,Reñido (<5%),Alto
SAN MIGUEL,SANTANDER,68686.0,33.6,64.85,0.0,83.61,25.54,17.81,18.07,59.0,2307.0,44.794299580145314,55.205700419854686,51.25417314556079,48.74582685443921,0,2.51,Oposición,Reñido (<5%),Bajo
SAN VICENTE DE CHUCURI,SANTANDER,68689.0,34.9,53.47,2.92,74.63,42.55,6.15,31.87,74.81,33844.0,43.77495145209557,56.22504854790443,50.317377241815564,49.682622758184436,1,0.63,Cepeda,Reñido (<5%),Bajo
SANTA HELENA DEL OPON,SANTANDER,68720.0,47.9,66.2,28.78,63.72,45.76,13.09,25.51,65.07,3115.0,46.49664828734792,53.50335171265208,51.90739071218807,48.09260928781193,1,3.81,Cepeda,Reñido (<5%),Alto
SANTA BARBARA,SANTANDER,52696.0,75.1,71.63,37.73,4.73,1.1,91.47,64.98,65.62,15455.0,50.02682956688488,49.97317043311512,55.63171024542746,44.36828975457254,1,11.26,Cepeda,Moderado (5-15%),Muy alto
SIMACOTA,SANTANDER,68745.0,44.5,68.88,19.56,56.42,28.96,7.28,30.02,71.05,12714.0,46.39821016859187,53.60178983140813,52.17493403191234,47.82506596808766,1,4.35,Cepeda,Reñido (<5%),Alto
SOCORRO,SANTANDER,68755.0,15.1,13.11,5.84,93.98,82.84,3.23,7.51,77.19,41553.0,37.489021025039015,62.510978974960985,44.8537044952885,55.1462955047115,0,-10.29,Oposición,Moderado (5-15%),Muy bajo
SUAITA,SANTANDER,68770.0,37.8,68.33,9.74,62.57,36.58,11.29,14.63,64.52,9221.0,45.60902895851751,54.39097104148249,51.43084124369204,48.56915875630796,1,2.86,Cepeda,Reñido (<5%),Medio
SUCRE,SANTANDER,19785.0,75.5,84.98,30.53,23.1,19.66,58.99,29.48,63.89,9736.0,51.43325528243349,48.56674471756651,56.274875485133975,43.725124514866025,1,12.55,Cepeda,Moderado (5-15%),Muy alto
