cod_mpio,nombre_mpio,cobertura_acueducto,cobertura_alcantarillado,pobreza_extrema,desempeno_fiscal,pct_rural,tasa_homicidios,nbi_rural,nbi_urbano,ipm,poblacion_total
41791,Tarqui,76.79,55.42,6.91,64.9,69.04,22.2,15.13,9.3,47.1,20481.0
41797,Tesalia,90.01,70.51,6.91,66.95,50.74,0.0,10.83,9.44,36.1,15241.0
41799,Tello,83.32,58.81,6.91,63.18,55.7,8.34,14.01,19.78,44.5,13384.0
41801,Teruel,66.48,56.29,6.91,62.41,47.13,36.47,16.04,6.27,39.9,7845.0
41807,Timaná,87.69,51.97,6.91,68.51,65.07,26.75,12.07,7.75,40.8,24989.0
41872,Villavieja,86.06,79.23,6.91,65.06,67.45,27.4,12.99,15.31,37.9,7082.0
41885,Yaguará,90.86,83.21,6.91,72.61,16.76,12.58,13.68,8.4,23.8,7845.0
44000,La Guajira,46.56,41.87,20.96,58.81,48.17,17.92,74.96,28.95,60.21,1338301.0
44001,Riohacha,69.02,55.16,14.83,70.57,23.71,24.82,66.85,21.76,45.1,210762.0
44035,Albania,63.43,56.44,6.91,78.14,37.74,11.94,66.48,15.94,49.8,48994.0
44078,Barrancas,63.5,67.91,6.91,70.12,47.7,12.56,49.69,31.85,46.7,51332.0
44090,Dibulla,51.84,27.25,6.91,70.99,82.89,54.97,58.45,33.58,65.5,64186.0
44098,Distracción,72.13,66.03,6.91,62.34,47.17,6.76,28.31,21.2,40.2,13653.0
44110,El Molino,78.68,76.71,6.91,63.54,4.04,0.0,53.98,23.6,37.0,6406.0
44279,Fonseca,79.12,79.97,6.91,72.65,8.81,36.77,27.22,17.98,36.0,71281.0
44378,Hatonuevo,60.03,60.03,6.91,66.0,32.67,8.74,44.89,20.64,43.3,26346.0
44420,La Jagua del Pilar,76.37,70.76,6.91,59.65,30.39,0.0,42.17,20.06,43.0,5045.0
44430,Maicao,42.14,44.62,6.91,70.9,32.09,28.11,80.77,44.99,60.0,279152.0
44560,Manaure,4.42,5.83,6.91,65.64,84.59,9.28,80.29,84.79,86.7,106671.0
44650,San Juan del Cesar,72.37,57.08,6.91,76.2,25.77,19.43,37.47,16.93,36.6,78961.0
44847,Uribia,2.53,2.88,6.91,68.18,92.63,4.05,89.03,71.32,92.2,261337.0
44855,Urumita,84.73,82.2,6.91,63.51,7.98,8.56,73.66,19.51,32.0,13692.0
44874,Villanueva,91.5,87.46,6.91,59.42,3.98,16.48,40.02,17.04,31.0,36853.0
