MUNNOMBRE,DEPNOMBRE,cod_mpio,ipm,pct_rural,tasa_homicidios,cobertura_acueducto,cobertura_alcantarillado,nbi_urbano,nbi_rural,desempeno_fiscal,poblacion_total,factor_izq,pct_cepeda_v1,pct_oposicion_v1,gana_cepeda_pred,pct_cepeda_v2_pred,pct_oposicion_v2_pred,margen_pred
GINEBRA,VALLE,76306.0,14.7,48.23,8.57,89.04,77.91,2.91,8.16,71.74,25254.0,0.3265625345498298,41.03002819710906,58.96997180289094,0,47.87496499065725,52.12503500934275,-4.25
GUACARI,VALLE,76318.0,16.0,32.83,55.88,96.96,88.23,6.55,7.77,70.3,33802.0,0.25507864350918835,39.600350376296234,60.399649623703766,0,46.47891453419258,53.52108546580742,-7.04
JAMUNDI,VALLE,76364.0,14.9,25.68,63.8,95.05,87.37,4.35,15.09,72.56,223188.0,0.21257037556041916,38.75018501732085,61.24981498267915,0,45.708370159789425,54.291629840210575,-8.58
LA CUMBRE,VALLE,76377.0,25.3,76.17,11.96,86.85,37.12,7.68,9.73,71.04,20279.0,0.527144077285303,45.04165905181853,54.95834094818147,1,51.95900436731745,48.04099563268255,3.92
LA UNION,VALLE,52399.0,48.6,58.63,31.47,48.88,41.14,13.81,20.78,71.1,39575.0,0.5650885849260782,45.80054920463403,54.19945079536597,1,51.31325133494076,48.68674866505924,2.63
LA VICTORIA,VALLE,15401.0,38.4,53.0,0.0,68.24,42.78,0.3,25.48,57.58,1051.0,0.4805566121366586,44.10990974884564,55.89009025115436,0,49.45945445040756,50.54054554959244,-1.08
OBANDO,VALLE,76497.0,31.2,18.59,164.03,94.13,94.3,11.15,15.74,72.35,11503.0,0.2655543194239115,39.8098638945907,60.1901361054093,0,46.21203728139625,53.78796271860375,-7.58
PALMIRA,VALLE,76520.0,11.5,24.36,31.77,97.89,94.45,3.83,7.03,74.03,383743.0,0.18723405704733886,38.24345864705924,61.75654135294076,0,45.351826812573734,54.648173187426266,-9.3
PRADERA,VALLE,76563.0,24.8,10.17,38.96,93.08,87.41,9.98,10.73,72.26,48745.0,0.18757104003391384,38.25019830679074,61.74980169320926,0,45.08975118030709,54.91024881969291,-9.82
RESTREPO,VALLE,50606.0,15.3,35.63,5.27,82.81,69.63,4.91,8.22,77.06,23968.0,0.2655394106488634,39.80956571908973,60.19043428091027,0,47.02036568681808,52.97963431318192,-5.96
RIOFRIO,VALLE,76616.0,23.2,46.44,76.64,84.87,69.7,7.28,10.48,76.74,15813.0,0.36392599083048915,41.77729732272225,58.22270267727775,1,48.65502428530072,51.34497571469928,-2.69
ROLDANILLO,VALLE,76622.0,16.5,19.65,21.48,95.26,84.72,4.66,9.01,72.97,37598.0,0.19054838383294664,38.3097451827714,61.6902548172286,0,45.39302765385065,54.60697234614935,-9.21
SAN PEDRO,VALLE,70717.0,47.1,34.76,20.33,85.73,73.52,27.35,35.17,68.57,23758.0,0.4350598886052065,43.1999752782166,56.8000247217834,0,49.35402987393375,50.64597012606625,-1.29
SEVILLA,VALLE,76736.0,27.4,19.91,57.6,88.47,81.1,9.19,13.0,70.21,43027.0,0.25150332940307496,39.52884409417397,60.47115590582603,0,46.08022910402659,53.91977089597341,-7.84
TORO,VALLE,76823.0,32.1,23.98,192.18,86.98,71.84,9.75,12.74,69.14,13549.0,0.29798615393583844,40.45850058482924,59.54149941517076,1,46.7778108739756,53.2221891260244,-6.44
TRUJILLO,VALLE,76828.0,34.9,46.56,78.04,82.29,67.82,10.32,18.87,68.68,19510.0,0.42854279957536234,43.06963349761971,56.93036650238029,1,49.18450824628951,50.81549175371049,-1.63
TULUA,VALLE,76834.0,13.7,15.46,46.03,97.58,95.73,4.56,9.96,78.63,221662.0,0.15384700000826404,37.57571750627775,62.42428249372225,0,44.888567107095675,55.111432892904325,-10.22
ULLOA,VALLE,76845.0,24.2,45.47,73.41,92.21,65.91,3.23,11.7,63.37,4915.0,0.36444595529958373,41.78769661210414,58.21230338789586,0,48.111692325216154,51.888307674783846,-3.78
VERSALLES,VALLE,76863.0,30.6,33.38,28.42,84.18,70.06,6.6,14.58,67.43,6665.0,0.33775433420984274,41.25386419030932,58.74613580969068,0,47.519090397729705,52.480909602270295,-4.96
VIJES,VALLE,76869.0,19.0,30.45,30.66,92.26,73.51,4.9,12.03,66.53,14570.0,0.2593434465826966,39.6856464377664,60.3143535622336,0,46.403360802817964,53.596639197182036,-7.19
YOTOCO,VALLE,76890.0,20.8,41.96,48.78,89.05,67.65,8.35,8.62,71.7,16438.0,0.32793274590153865,41.057432424143244,58.942567575856756,0,47.969699161199884,52.030300838800116,-4.06
YUMBO,VALLE,76892.0,15.6,15.9,53.82,95.23,88.17,7.39,9.68,82.32,116450.0,0.16648645847688381,37.82850667565015,62.17149332434985,0,45.38643467032557,54.61356532967443,-9.23
ZARZAL,VALLE,76895.0,17.2,19.86,53.56,97.31,94.8,5.28,8.71,75.73,42826.0,0.19544946215616846,38.40776674923583,61.59223325076417,0,45.474923943257636,54.525076056742364,-9.05
ARAUCA,ARAUCA,81000.0,42.31,37.95,61.74,72.86,57.57,25.78,45.32,63.32,262795.0,0.4251368815398989,43.00151513691045,56.99848486308955,0,48.91217403426576,51.08782596573424,-2.18
TAME,ARAUCA,81794.0,41.9,45.06,167.47,70.15,61.41,21.19,45.74,70.2,45812.0,0.45918061148982997,43.68238973590907,56.31761026409093,1,49.619449191793464,50.380550808206536,-0.76
ARAUQUITA,ARAUCA,81065.0,49.2,75.16,89.24,50.44,33.87,30.42,45.91,70.36,53783.0,0.6527334206045747,47.55344591820396,52.44655408179604,1,53.3230644200312,46.6769355799688,6.65
CRAVO NORTE,ARAUCA,81220.0,48.8,31.94,23.29,67.64,64.46,28.82,31.79,72.89,4102.0,0.4299675089212546,43.09812768453756,56.90187231546244,0,49.22890502967167,50.77109497032833,-1.54
FORTUL,ARAUCA,81300.0,48.3,47.61,234.64,73.72,39.41,30.29,38.98,67.71,19978.0,0.507205740425607,44.6428923146246,55.3571076853754,1,50.772538349156534,49.227461650843466,1.55
PUERTO RONDON,ARAUCA,81591.0,45.0,35.63,941.55,65.91,58.36,15.23,40.65,62.36,4617.0,0.4280120583512704,43.05901867313788,56.94098132686212,1,47.75779105572071,52.24220894427929,-4.48
SARAVENA,ARAUCA,81736.0,39.4,27.21,183.73,87.98,57.48,23.37,41.52,74.84,58069.0,0.3544051465761523,41.586880437635514,58.413119562364486,1,48.40722868067171,51.59277131932829,-3.19
FLORENCIA,CAQUETA,18001.0,29.6,14.4,18.11,90.7,82.59,13.24,26.39,69.22,207925.0,0.23541748702154836,39.207127246543436,60.792872753456564,0,45.778306346602996,54.221693653397004,-8.44
