MUNNOMBRE,DEPNOMBRE,cod_mpio,ipm,pct_rural,tasa_homicidios,cobertura_acueducto,cobertura_alcantarillado,nbi_urbano,nbi_rural,desempeno_fiscal,poblacion_total,factor_izq,pct_cepeda_v1,pct_oposicion_v1,gana_cepeda_pred,pct_cepeda_v2_pred,pct_oposicion_v2_pred,margen_pred
EL PEÑON,BOLIVAR,13268.0,67.7,66.49,0.0,54.73,2.8,27.19,58.65,47.96,6529.0,0.7096886824417514,48.692551154947495,51.307448845052505,1,53.347397878802376,46.652602121197624,6.69
MAGANGUE,BOLIVAR,13430.0,49.1,30.16,17.4,83.56,30.28,23.17,33.46,74.43,168073.0,0.42252423318083576,42.94926216972918,57.05073783027082,1,49.83875099206689,50.16124900793311,-0.32
MAHATES,BOLIVAR,13433.0,54.3,63.92,9.97,82.35,10.69,41.48,19.5,39.33,38534.0,0.623268264812901,46.96414280237049,53.03585719762951,0,52.46371425129138,47.53628574870862,4.93
MARGARITA,BOLIVAR,13440.0,65.6,84.96,17.56,70.28,0.53,29.4,37.44,57.18,12643.0,0.792464267519039,50.34806285649325,49.65193714350675,1,55.79428960197376,44.20571039802624,11.59
MARIA LA BAJA,BOLIVAR,13442.0,63.2,55.21,30.19,24.68,9.58,48.13,45.26,54.44,47483.0,0.6275029711457689,47.04883692902784,52.95116307097216,1,51.987039959684644,48.012960040315356,3.97
MONTECRISTO,BOLIVAR,13458.0,70.1,77.36,11.08,31.03,0.61,46.52,69.3,59.17,14392.0,0.7782939514597086,50.06465653530664,49.93534346469336,1,55.06142868086573,44.93857131913427,10.12
MOMPOS,BOLIVAR,13468.0,49.1,48.93,18.91,86.05,31.47,20.38,38.27,68.73,51106.0,0.5183188641903285,44.86515478991904,55.13484521008096,1,51.33482356550044,48.66517643449956,2.67
MORALES,BOLIVAR,13473.0,57.6,70.93,16.71,47.34,35.02,41.0,66.29,60.49,27653.0,0.6770970392624545,48.04071829136156,51.95928170863844,1,53.268862008190766,46.731137991809234,6.54
NOROSI,BOLIVAR,13490.0,66.2,78.86,58.78,3.33,1.11,37.38,75.72,53.15,15769.0,0.7646145640528996,49.79106878717046,50.20893121282954,1,53.81371230361039,46.18628769638961,7.63
PINILLOS,BOLIVAR,13549.0,67.5,85.94,3.99,51.72,11.98,49.81,63.76,60.93,25294.0,0.8078596716853215,50.6559709398189,49.3440290601811,1,56.09691864526487,43.90308135473513,12.19
REGIDOR,BOLIVAR,13580.0,48.9,40.0,13.64,88.99,6.45,23.4,31.02,55.24,9042.0,0.4716495962123,43.93176943035847,56.06823056964153,0,50.33571206946908,49.66428793053092,0.67
RIOVIEJO,BOLIVAR,13600.0,57.3,53.76,9.08,64.1,37.6,30.62,58.36,43.48,14119.0,0.5878270354274933,46.25531821466233,53.74468178533767,0,50.87860050603058,49.12139949396942,1.76
SAN ESTANISLAO,BOLIVAR,13647.0,50.7,32.12,10.31,89.0,0.95,35.25,25.7,66.35,25690.0,0.44128003057248133,43.32437811756209,56.67562188243791,0,50.601461485483576,49.398538514516424,1.2
SAN CRISTOBAL,BOLIVAR,13620.0,49.9,22.39,11.38,94.34,1.57,29.08,13.4,57.57,12753.0,0.3872456043682376,42.24368959347722,57.75631040652278,0,49.16867000486887,50.83132999513113,-1.66
SAN FERNANDO,BOLIVAR,13650.0,64.3,84.27,7.49,67.18,12.94,22.15,43.89,51.36,11057.0,0.7818311839756242,50.13540118562495,49.86459881437505,1,54.947827630993494,45.052172369006506,9.9
SAN JACINTO,BOLIVAR,13654.0,60.3,13.43,47.67,0.69,0.5,98.08,60.83,61.93,32052.0,0.3984100991930499,42.46697948997347,57.53302051002653,1,48.86987037367687,51.13012962632313,-2.26
SAN JACINTO DEL CAUCA,BOLIVAR,13655.0,66.7,75.64,9.26,38.4,0.81,51.7,69.82,60.55,11681.0,0.7509161916891005,49.51710133989448,50.48289866010552,1,54.96954601385291,45.03045398614709,9.94
SAN JUAN NEPOMUCENO,BOLIVAR,13657.0,56.2,25.01,7.59,53.12,1.22,42.59,25.6,67.71,50137.0,0.43508093957222205,43.20039629755691,56.79960370244309,1,49.837301619874154,50.162698380125846,-0.33
SAN MARTIN DE LOBA,BOLIVAR,13667.0,60.6,54.17,39.28,59.09,35.96,31.53,58.27,44.62,14112.0,0.6079720291278378,46.65821808866922,53.34178191133078,0,51.137331022469056,48.862668977530944,2.27
SAN PABLO,BOLIVAR,13670.0,54.0,18.85,91.6,75.14,50.89,32.87,59.56,55.81,28837.0,0.3916077332653746,42.33093217141996,57.66906782858004,0,47.89782419645771,52.10217580354229,-4.2
SANTA CATALINA,BOLIVAR,13673.0,54.8,63.15,26.1,2.78,1.64,94.98,35.13,35.31,16731.0,0.6220737201514597,46.940251909141665,53.059748090858335,0,51.920928635628314,48.079071364371686,3.84
SANTA ROSA,BOLIVAR,13683.0,54.3,10.49,47.86,32.99,1.06,72.67,47.1,67.83,23416.0,0.3505827488386231,41.51043248288493,58.48956751711507,1,48.52291368774842,51.47708631225158,-2.95
SANTA ROSA DEL SUR,BOLIVAR,13688.0,43.6,39.01,39.49,69.67,66.48,13.81,48.46,72.54,30439.0,0.43760359365134105,43.25084937913929,56.74915062086071,1,49.14398098710383,50.85601901289617,-1.71
SIMITI,BOLIVAR,13744.0,54.8,67.74,117.16,64.58,1.26,17.75,44.28,68.92,16742.0,0.6454992585815913,47.40876267774429,52.59123732225571,1,53.43915932852112,46.56084067147888,6.88
SOPLAVIENTO,BOLIVAR,13760.0,39.4,1.62,9.0,88.75,1.26,27.33,82.35,56.2,17154.0,0.22380394212581037,38.97485634862868,61.02514365137132,0,46.12253433709118,53.87746566290882,-7.75
TALAIGUA NUEVO,BOLIVAR,13780.0,50.7,51.47,14.8,86.93,19.14,25.11,27.35,65.64,18064.0,0.5400347514053894,45.29947253422026,54.70052746577974,1,51.872306046322144,48.127693953677856,3.74
TIQUISIO (PTO. RICO),BOLIVAR,13810.0,73.0,65.35,20.49,37.59,1.23,43.92,68.67,58.23,16347.0,0.7328640103063747,49.156057712239964,50.843942287760036,1,54.145834145359494,45.854165854640506,8.29
TURBACO,BOLIVAR,13836.0,30.4,9.37,16.33,76.08,23.66,15.89,34.6,79.22,151938.0,0.21412273082301575,38.78123212257278,61.21876787742722,1,46.48342703954711,53.51657296045289,-7.03
TURBANA,BOLIVAR,13838.0,42.8,26.83,5.6,57.96,42.65,53.98,29.87,66.75,19853.0,0.37106533974473943,41.92008430100726,58.07991569899274,0,48.6954581789151,51.3045418210849,-2.61
VILLANUEVA,BOLIVAR,13873.0,54.1,13.27,23.19,53.87,1.37,39.07,43.37,52.55,38611.0,0.36367667367472156,41.7723109796069,58.2276890203931,0,47.73775277078412,52.26224722921588,-4.52
ZAMBRANO,BOLIVAR,13894.0,62.4,12.79,7.92,81.44,1.72,39.29,65.93,63.71,14940.0,0.40663175817006453,42.63141266951376,57.36858733048624,0,49.39279679121451,50.60720320878549,-1.21
TUNJA,BOYACA,15001.0,11.4,2.95,4.4,98.9,95.87,3.18,12.64,77.3,225827.0,0.07741886778630264,36.04715486183852,63.95284513816148,0,43.48691051194855,56.51308948805145,-13.03
ALMEIDA,BOYACA,15022.0,37.5,73.51,0.0,63.86,17.32,0.32,9.23,61.8,1306.0,0.5803080990496577,46.104939487105625,53.895060512894375,1,51.858511200327214,48.141488799672786,3.72
AQUITANIA (PUEBLOVIEJO),BOYACA,15047.0,33.5,52.17,6.35,73.17,38.0,9.85,15.01,67.58,13109.0,0.4495153698861506,43.48908490383548,56.51091509616452,1,49.87863977984473,50.12136022015527,-0.24
ARCABUCO,BOYACA,15051.0,24.8,49.65,0.0,84.65,45.11,4.75,12.19,66.85,7104.0,0.38906129215190915,42.280003349150654,57.719996650849346,0,48.975402815003285,51.024597184996715,-2.05
BELEN,BOYACA,15087.0,25.2,30.69,0.0,90.28,60.08,5.0,11.02,67.76,7318.0,0.2944851603525306,40.38848071316308,59.61151928683692,0,47.13897059259355,52.86102940740645,-5.72
BERBEO,BOYACA,15090.0,40.5,63.3,62.38,85.64,25.82,3.31,19.45,56.38,1485.0,0.544611689507059,45.391011296253645,54.608988703746355,1,51.15995606198172,48.84004393801828,2.32
BETEITIVA,BOYACA,15092.0,43.3,74.52,0.0,67.69,33.69,5.35,11.9,60.72,1209.0,0.6171914034327929,46.84260557476833,53.15739442523167,1,52.27620728934735,47.72379271065265,4.55
BOAVITA,BOYACA,15097.0,48.1,43.55,41.4,49.67,41.47,9.25,27.36,60.13,4856.0,0.4853910197579797,44.20659790127206,55.79340209872794,1,49.21187987590512,50.78812012409488,-1.58
BOYACA,BOYACA,15000.0,25.61,29.99,6.87,85.52,63.22,4.93,17.81,73.21,1326466.0,0.2931555265544827,40.36188803720212,59.63811196279788,0,47.01533360312299,52.98466639687701,-5.97
BRICEÑO,BOYACA,15106.0,48.5,68.31,0.0,43.22,23.01,7.3,18.58,63.56,2026.0,0.6139444174063913,46.7776658542403,53.2223341457597,1,51.91393592102261,48.08606407897739,3.83
BUENAVISTA,BOYACA,15109.0,44.9,73.82,0.0,50.8,17.42,5.69,16.37,61.21,4026.0,0.6223716164618784,46.94620983535004,53.05379016464996,1,52.25887372601887,47.74112627398113,4.52
BUSBANZA,BOYACA,15114.0,31.3,44.98,86.13,91.67,48.11,11.71,9.88,62.94,1712.0,0.400785452341169,42.51448655293585,57.48551344706415,0,49.00588806139638,50.99411193860362,-1.99
CALDAS,BOYACA,15131.0,43.7,84.56,31.57,67.44,16.28,10.64,15.79,63.69,1827.0,0.6706197628041809,47.91117276219609,52.08882723780391,1,53.74461918239233,46.25538081760767,7.49
CAMPOHERMOSO,BOYACA,15135.0,52.3,65.06,32.44,43.76,33.93,8.76,24.83,78.73,2879.0,0.6181454533596562,46.86168657330559,53.13831342669441,1,52.46372388700155,47.53627611299845,4.93
CERINZA,BOYACA,15162.0,29.4,46.27,0.0,92.92,43.58,5.45,10.73,64.86,2790.0,0.3969752273113571,42.43828205233961,57.56171794766039,0,49.106878519231145,50.893121480768855,-1.79
CIENEGA,BOYACA,15189.0,40.5,64.16,0.0,87.26,25.27,4.81,11.57,61.27,3549.0,0.5490007882107437,45.478793270327344,54.521206729672656,0,51.61176784333261,48.38823215666739,3.22
COMBITA,BOYACA,15204.0,36.1,82.78,29.72,87.73,15.58,7.58,10.82,75.72,12040.0,0.6199598568668254,46.897974643448975,53.102025356551025,1,53.941328856783684,46.058671143216316,7.88
COPER,BOYACA,15212.0,38.8,66.65,27.63,35.36,24.16,8.22,15.6,61.74,2621.0,0.5524089788572351,45.54695708325717,54.45304291674283,1,50.769231527423344,49.230768472576656,1.54
CORRALES,BOYACA,15215.0,26.6,30.29,38.77,93.41,66.06,9.73,20.39,57.23,2476.0,0.3001023624210421,40.50082475453331,59.49917524546669,0,46.733843119013,53.266156880987,-6.53
COVARACHIA,BOYACA,15218.0,55.6,73.79,73.5,54.52,18.45,8.46,30.71,59.16,2541.0,0.6807524252165793,48.11382601044406,51.88617398955594,1,52.99857147466732,47.00142852533268,6.0
CUBARA,BOYACA,15223.0,69.7,71.97,36.71,43.83,26.49,17.35,72.36,71.19,16562.0,0.7485973467070816,49.4707244402541,50.5292755597459,1,54.30288606760911,45.69711393239089,8.61
CUCAITA,BOYACA,15224.0,25.9,50.56,26.06,95.15,46.85,11.13,10.68,65.57,3550.0,0.3997230764832444,42.49323903577736,57.50676096422264,0,49.38669034285408,50.61330965714592,-1.23
CUITIVA,BOYACA,15226.0,40.7,77.76,54.85,84.01,19.39,2.79,10.82,63.01,1614.0,0.6195038828704094,46.88885516352065,53.11114483647935,1,52.93892621106038,47.06107378893962,5.88
CHINAVITA,BOYACA,15172.0,41.1,52.41,0.0,75.9,39.11,6.87,17.4,62.82,2362.0,0.4923157269820239,44.34509204575295,55.65490795424705,0,50.21719996604135,49.78280003395865,0.43
CHIQUINQUIRA,BOYACA,15176.0,17.3,8.68,8.51,96.75,88.89,4.36,12.5,75.09,60133.0,0.138938224960126,37.277542005314984,62.722457994685016,0,44.474683878336876,55.525316121663124,-11.05
CHIQUIZA,BOYACA,15232.0,51.3,86.12,0.0,75.14,8.83,16.62,17.33,61.67,4186.0,0.720156876049896,48.90191502711039,51.09808497288961,1,54.78444458735246,45.21555541264754,9.57
CHISCAS,BOYACA,15180.0,60.1,69.11,0.0,72.64,33.55,12.03,33.55,59.14,3661.0,0.6814846303372019,48.128470112856505,51.871529887143495,1,53.163229140310094,46.836770859689906,6.33
CHITA,BOYACA,15183.0,69.1,65.89,25.32,49.18,23.04,22.96,48.42,63.47,7423.0,0.714285163881499,48.784480783742445,51.215519216257555,1,53.62504244051667,46.37495755948333,7.25
CHITARAQUE,BOYACA,15185.0,46.4,71.2,33.65,42.03,22.67,5.59,27.49,70.49,5340.0,0.6172058655029707,46.842894816171885,53.157105183828115,1,52.271178087088366,47.728821912911634,4.54
CHIVATA,BOYACA,15187.0,42.3,75.17,0.0,91.92,17.37,13.4,21.96,65.22,2525.0,0.6150382859576761,46.79954322526599,53.20045677473401,1,53.37355046222633,46.62644953777367,6.75
CHIVOR,BOYACA,15236.0,45.8,64.5,39.59,68.05,38.0,9.58,20.7,60.26,2893.0,0.5797294487282201,46.09336648067687,53.90663351932313,1,51.47842466916178,48.52157533083822,2.96
DUITAMA,BOYACA,15238.0,10.5,8.16,9.35,98.67,91.68,2.9,6.91,75.36,164223.0,0.09908522659886282,36.480482038089725,63.519517961910275,0,43.88532592737984,56.11467407262016,-12.23
EL COCUY,BOYACA,15244.0,49.4,38.05,24.3,84.1,55.44,24.36,36.84,68.01,4074.0,0.4644327998411517,43.7874335029355,56.2125664970645,0,49.98102144435117,50.01897855564883,-0.04
EL ESPINO,BOYACA,15248.0,31.3,46.07,32.74,90.91,48.52,7.9,17.46,63.22,2924.0,0.40634837976793237,42.62574510147112,57.37425489852888,0,49.05567082665122,50.94432917334878,-1.89
FIRAVITOBA,BOYACA,15272.0,21.7,53.84,14.5,91.64,47.13,2.45,9.12,68.87,7196.0,0.39348696481685436,42.368516802449555,57.631483197550445,0,49.29078454427996,50.70921545572004,-1.42
FLORESTA,BOYACA,15276.0,43.9,53.96,30.54,86.25,44.04,11.42,18.08,61.92,3069.0,0.5155435985070229,44.80964947625293,55.19035052374707,0,50.73734227543466,49.26265772456534,1.47
GACHANTIVA,BOYACA,15293.0,51.2,71.35,0.0,63.62,22.04,5.41,11.79,61.89,2192.0,0.6442296116638215,47.3833697393889,52.6166302606111,1,52.713457305575005,47.286542694424995,5.43
GAMEZA,BOYACA,15296.0,43.7,64.22,20.61,89.27,30.4,7.57,17.5,63.28,3499.0,0.5668124748588915,45.8350270032903,54.1649729967097,1,51.95364230653671,48.04635769346329,3.91
GARAGOA,BOYACA,15299.0,20.3,23.12,0.0,84.28,76.23,4.72,16.26,73.86,21567.0,0.22904563291267882,39.07969016436604,60.92030983563396,0,45.97101548331546,54.02898451668454,-8.06
GUACAMAYAS,BOYACA,15317.0,30.4,57.5,0.0,80.78,33.6,14.48,9.4,63.85,1414.0,0.45975915013505003,43.69396050881347,56.30603949118653,0,50.307959439528005,49.692040560471995,0.62
GUATEQUE,BOYACA,15322.0,19.4,22.38,18.21,90.1,78.36,6.14,9.42,69.04,12163.0,0.2203455530195127,38.90568856650272,61.09431143349728,0,45.71045193304083,54.28954806695917,-8.58
GUAYATA,BOYACA,15325.0,36.1,57.52,29.49,80.85,44.78,4.48,12.43,63.28,3171.0,0.49104284145394395,44.319634335191346,55.680365664808654,0,50.29534297955735,49.70465702044265,0.59
GUICAN,BOYACA,15332.0,48.1,59.88,23.09,62.55,35.01,3.6,40.92,62.89,3976.0,0.5687328590965528,45.873434688043524,54.126565311956476,1,51.13232405767056,48.86767594232944,2.26
IZA,BOYACA,15362.0,24.8,31.22,0.0,91.11,61.9,5.78,11.08,64.88,1691.0,0.29500188621131507,40.39881523033877,59.60118476966123,0,47.028421822582054,52.971578177417946,-5.94
JENESANO,BOYACA,15367.0,38.8,67.23,27.26,80.87,26.64,5.11,14.27,78.93,6644.0,0.5553690686806505,45.60615887972548,54.39384112027452,1,52.45877717567767,47.54122282432233,4.92
JERICO,BOYACA,15368.0,64.7,58.98,50.75,55.73,28.08,14.07,43.97,62.27,3662.0,0.654949244275868,47.59776239162983,52.40223760837017,1,52.42534481547394,47.57465518452606,4.85
LABRANZAGRANDE,BOYACA,15377.0,57.4,62.33,0.0,56.8,32.76,11.17,50.12,65.85,3746.0,0.6321119603218865,47.1410167125502,52.8589832874498,1,52.29668285016797,47.70331714983203,4.59
LA CAPILLA,BOYACA,15380.0,31.6,52.64,0.0,79.03,38.13,3.26,9.75,63.65,1934.0,0.44152019027840655,43.3291813116806,56.6708186883194,0,49.5761094742003,50.4238905257997,-0.85
LA UVITA,BOYACA,15403.0,41.9,46.4,36.14,79.7,42.23,7.01,16.52,62.07,2086.0,0.4660194397025481,43.81916630016343,56.18083369983657,0,49.67108934632323,50.32891065367677,-0.66
LA VICTORIA,BOYACA,15401.0,38.4,53.0,0.0,68.24,42.78,0.3,25.48,57.58,1051.0,0.4805566121366586,44.10990974884564,55.89009025115436,0,49.45945445040756,50.54054554959244,-1.08
VILLA DE LEIVA,BOYACA,15407.0,15.2,41.82,5.81,95.36,60.38,6.98,9.54,81.07,27579.0,0.29658366815724635,40.4304508692574,59.5695491307426,0,48.227573333762194,51.772426666237806,-3.54
MACANAL,BOYACA,15425.0,28.9,68.05,0.0,76.48,31.44,0.81,10.73,69.53,5267.0,0.5053964740244468,44.6067069866014,55.3932930133986,1,51.11913511943681,48.88086488056319,2.24
MARIPI,BOYACA,15442.0,67.0,78.59,0.0,18.47,16.42,13.69,34.71,66.79,5184.0,0.767612958818948,49.851036682491426,50.148963317508574,1,54.155123664145876,45.844876335854124,8.31
MIRAFLORES,BOYACA,15455.0,21.1,31.22,0.0,86.42,60.9,5.11,11.51,82.11,8689.0,0.27476118599249666,39.9940012259624,60.0059987740376,0,47.48598267503211,52.51401732496789,-5.03
MONGUA,BOYACA,15464.0,50.7,47.98,0.0,83.89,46.93,12.2,28.08,63.03,3620.0,0.5222231764334592,44.94324103478165,55.05675896521835,0,50.67075919838986,49.32924080161014,1.34
MONGUI,BOYACA,15466.0,28.8,38.42,0.0,92.48,73.51,8.17,16.84,63.34,4123.0,0.353629666921214,41.571370844536744,58.428629155463256,0,47.83955507754477,52.16044492245523,-4.32
MONIQUIRA,BOYACA,15469.0,27.1,39.4,0.0,79.2,52.97,4.71,15.39,75.91,24071.0,0.3493314168205379,41.48540584252323,58.51459415747677,0,48.37346058708945,51.62653941291055,-3.25
MOTAVITA,BOYACA,15476.0,49.8,77.91,17.3,62.53,15.1,4.06,16.67,68.94,3640.0,0.6700506049612382,47.89978960533723,52.10021039466277,1,53.605018726915326,46.394981273084674,7.21
MUZO,BOYACA,15480.0,40.7,27.41,11.76,58.06,50.73,18.13,31.06,66.44,6402.0,0.3625374645790957,41.74952679769438,58.25047320230562,0,47.67081930305891,52.32918069694109,-4.66
NOBSA,BOYACA,15491.0,10.5,58.98,6.08,98.75,91.5,3.85,4.11,88.53,16994.0,0.3584503383677716,41.6677842734679,58.3322157265321,0,49.41385344758674,50.58614655241326,-1.17
NUEVO COLON,BOYACA,15494.0,46.2,71.56,0.0,80.37,18.75,9.87,16.26,70.59,4676.0,0.6179490707310258,46.857758920732984,53.142241079267016,1,53.255689104018835,46.744310895981165,6.51
OICATA,BOYACA,15500.0,22.8,77.2,0.0,94.04,14.74,0.25,6.93,64.5,2653.0,0.5187246397269383,44.873270300651235,55.126729699348765,1,51.885876445075915,48.114123554924085,3.77
OTANCHE,BOYACA,15507.0,44.7,46.2,12.33,44.76,42.12,10.24,43.1,85.29,7658.0,0.4803160057258631,44.10509762062973,55.89490237937027,1,50.34243742781984,49.65756257218016,0.68
PACHAVITA,BOYACA,15511.0,37.5,70.71,0.0,79.45,19.52,5.47,9.17,68.35,1516.0,0.566018010246963,45.819137711051724,54.180862288948276,1,52.29907810282823,47.70092189717177,4.6
PAEZ,BOYACA,15514.0,36.5,48.11,0.0,50.47,46.62,6.42,18.4,82.33,3097.0,0.4452061196780419,43.40289989967331,56.59710010032669,1,49.770754633693585,50.229245366306415,-0.46
PAIPA,BOYACA,15516.0,16.2,31.04,2.84,94.7,67.3,2.94,8.45,78.69,48196.0,0.24703728578547132,39.439523221821894,60.560476778178106,0,46.95646198174987,53.04353801825013,-6.09
PAJARITO,BOYACA,15518.0,27.8,55.92,0.0,74.05,53.57,9.54,12.77,60.35,1436.0,0.43747226241945636,43.2482227545016,56.7517772454984,0,49.25110755350639,50.74889244649361,-1.5
PANQUEBA,BOYACA,15522.0,42.7,41.85,0.0,71.53,53.97,6.27,22.72,61.71,1479.0,0.44717441301304894,43.442265766373446,56.557734233626554,0,48.94968741161381,51.05031258838619,-2.1
PAUNA,BOYACA,15531.0,47.4,61.37,13.68,41.61,24.97,9.86,32.89,66.52,6669.0,0.5725079061178242,45.94893562846895,54.05106437153105,1,51.280148723236735,48.719851276763265,2.56
PAYA,BOYACA,15533.0,68.2,71.29,0.0,36.19,21.27,18.74,70.52,61.16,2762.0,0.7369212072913849,49.23720165194017,50.76279834805983,1,53.63393828424812,46.36606171575188,7.27
PAZ DE RIO,BOYACA,15537.0,21.6,27.42,0.0,91.66,63.34,4.4,11.62,66.84,4242.0,0.25810272380528226,39.66083198221811,60.33916801778189,0,46.48012053164399,53.51987946835601,-7.04
PESCA,BOYACA,15542.0,39.3,57.81,14.75,85.35,34.98,7.31,15.76,66.99,6421.0,0.5100283568251702,44.69934464261587,55.30065535738413,1,51.04689433647695,48.95310566352305,2.09
PISBA,BOYACA,15550.0,57.9,56.0,0.0,43.57,32.13,18.82,41.67,58.2,2232.0,0.6025413821808088,46.54960514972864,53.45039485027136,1,51.28404488963769,48.71595511036231,2.57
PUERTO BOYACA,BOYACA,15572.0,33.6,22.09,51.09,88.43,81.45,11.36,21.18,79.48,46639.0,0.29654603327191886,40.42969817155085,59.57030182844915,0,47.234726170727704,52.765273829272296,-5.53
QUIPAMA,BOYACA,15580.0,64.6,63.73,59.8,31.44,30.17,25.82,46.78,61.67,4525.0,0.6786443132571507,48.07166377125548,51.92833622874452,1,52.57082862658858,47.42917137341142,5.14
RAMIRIQUI,BOYACA,15599.0,31.4,49.31,9.79,80.1,46.04,5.18,17.75,75.31,9388.0,0.42343109990576766,42.96739950422782,57.03260049577218,1,49.73271624924615,50.26728375075385,-0.53
RAQUIRA,BOYACA,15600.0,31.3,59.11,12.29,69.83,32.37,6.55,17.4,65.79,7349.0,0.47289936476333916,43.95676480137925,56.04323519862075,1,50.22746189571872,49.77253810428128,0.45
RONDON,BOYACA,15621.0,46.9,65.16,0.0,48.41,36.22,2.09,9.96,57.58,2216.0,0.5891153322736005,46.28108415158448,53.71891584841552,1,51.008839975081486,48.991160024918514,2.02
SABOYA,BOYACA,15632.0,41.8,86.09,0.0,64.37,8.95,7.95,16.62,69.04,13743.0,0.6680344025288856,47.85946555669018,52.14053444330982,1,54.018909652937324,45.981090347062676,8.04
SACHICA,BOYACA,15638.0,23.8,43.09,0.0,91.45,52.38,5.55,12.48,77.58,6980.0,0.3501111960098534,41.501001426309536,58.498998573690464,0,48.837065232452346,51.162934767547654,-2.33
SAMACA,BOYACA,15646.0,21.5,49.04,26.21,88.17,43.91,6.68,10.77,81.15,19380.0,0.3678955778228007,41.856689062568485,58.143310937431515,1,49.46692440631659,50.53307559368341,-1.07
SAN EDUARDO,BOYACA,15660.0,35.9,45.48,59.45,74.87,43.03,3.11,18.01,64.98,1350.0,0.4285013676986368,43.0688048600852,56.9311951399148,1,49.0601237186008,50.9398762813992,-1.88
SAN JOSE DE PARE,BOYACA,15664.0,50.8,70.73,0.0,45.42,17.28,12.58,18.86,69.01,3676.0,0.6388771939072135,47.27632138425674,52.72367861574326,1,52.82293203343022,47.17706796656978,5.65
SAN LUIS DE GACENO,BOYACA,15667.0,31.4,46.82,18.03,57.44,45.49,7.01,21.69,66.61,4148.0,0.410723128077657,42.71324006766561,57.28675993233439,1,48.66107003343312,51.33892996656688,-2.68
SAN MATEO,BOYACA,15673.0,45.8,53.96,0.0,71.82,32.72,7.65,27.38,55.41,3130.0,0.5259374715923621,45.01752693795971,54.98247306204029,0,50.379133407427204,49.620866592572796,0.76
SAN MIGUEL DE SEMA,BOYACA,15676.0,35.6,78.1,0.0,56.83,14.6,12.25,8.54,70.24,2721.0,0.5933397643944502,46.36557279400147,53.63442720599853,1,52.721720091995344,47.278279908004656,5.44
SAN PABLO DE BORBUR,BOYACA,15681.0,53.7,81.34,14.69,30.48,22.29,11.01,24.19,67.09,5942.0,0.7088907558670776,48.67659262345402,51.32340737654598,1,53.53151199025952,46.46848800974048,7.06
SANTANA,BOYACA,15686.0,40.5,57.05,12.8,73.01,34.72,8.57,18.12,66.19,7104.0,0.5127141698581867,44.7530609032762,55.2469390967238,1,50.80905649565485,49.19094350434515,1.62
SANTA MARIA,BOYACA,15690.0,29.0,32.97,0.0,64.71,58.84,5.48,19.52,76.6,3479.0,0.3269091216911174,41.03695993993482,58.96304006006518,1,47.57384912218261,52.42615087781739,-4.85
SANTA ROSA DE VITERBO,BOYACA,15693.0,19.0,31.49,0.0,92.94,67.51,3.17,11.73,82.42,12989.0,0.2646511938522689,39.791801383157846,60.208198616842154,0,47.35862213957559,52.64137786042441,-5.28
SANTA SOFIA,BOYACA,15696.0,31.4,58.51,0.0,83.28,24.92,10.98,9.48,84.3,3201.0,0.4703842488289073,43.906462482690614,56.093537517309386,1,51.56497968545094,48.43502031454906,3.13
SATIVANORTE,BOYACA,15720.0,51.6,59.54,0.0,75.64,33.25,7.89,26.71,58.29,1441.0,0.5861442423427526,46.22166235296752,53.77833764703248,1,51.557224091123366,48.442775908876634,3.11
SATIVASUR,BOYACA,15723.0,29.7,64.45,0.0,85.46,27.0,4.79,8.51,61.04,723.0,0.49139987032157617,44.32677491254399,55.67322508745601,0,50.76344368136739,49.23655631863261,1.53
SIACHOQUE,BOYACA,15740.0,45.1,75.71,0.0,82.97,20.19,20.7,19.52,65.53,6096.0,0.6331115183074174,47.16100787226082,52.83899212773918,1,53.58978826479644,46.41021173520356,7.18
SOATA,BOYACA,15753.0,17.3,21.48,11.24,91.48,71.33,4.96,14.48,66.7,8970.0,0.20426434520101608,38.58406441013279,61.41593558986721,0,45.462795450555255,54.537204549444745,-9.07
SOCOTA,BOYACA,15755.0,52.9,71.38,13.68,50.9,19.14,9.9,31.22,61.96,6664.0,0.6536825009397553,47.572427524907575,52.427572475092425,1,52.700625501118644,47.299374498881356,5.4
SOCHA,BOYACA,15757.0,20.8,37.83,24.41,91.78,54.42,7.15,11.27,69.39,8679.0,0.306854864917564,40.63587480446375,59.36412519553625,0,47.70939453347414,52.29060546652586,-4.58
SOGAMOSO,BOYACA,15759.0,10.4,8.37,7.52,97.89,91.02,3.08,7.77,76.66,157022.0,0.09960993730720497,36.490976252256566,63.509023747743434,0,43.96026935088749,56.03973064911251,-12.08
SOMONDOCO,BOYACA,15761.0,41.0,68.36,0.0,62.2,21.83,2.35,11.26,64.77,2671.0,0.5731711511740856,45.96220052959418,54.03779947040582,1,51.71373929860137,48.28626070139863,3.43
SORA,BOYACA,15762.0,55.3,75.86,0.0,80.96,19.28,8.97,14.61,57.63,2920.0,0.6896757458687058,48.292292423486586,51.707707576513414,1,53.70749624996327,46.29250375003673,7.41
SORACA,BOYACA,15764.0,38.5,64.99,16.26,82.12,26.63,8.2,12.31,68.34,5715.0,0.5422958597829148,45.34469470177076,54.65530529822924,1,51.81787104675937,48.18212895324063,3.64
